filename,Classes,Labels,BM,baseline,baseline_60640,lora_97286,baseline_97286,lora_44971,baseline_97286_1,baseline_44971,lora_44971_1,lora_44971_2,lora_44971_3,Q_lora_87884,lora_13545,lora_74843,lora_96996,baseline_46636,baseline_39021,lora_28050,Q_lora_46984,lora_plus_47330
1025794.jpg,707-320,0,,,,,,,,,,,,,,,,,,,,
1340192.jpg,707-320,0,,,,,,,,,,,,,,,,,,,,
0056978.jpg,707-320,0,,,,,,,,,,,,,,,,,,,,
0698580.jpg,707-320,0,,,,,,,,,,,,,,,,,,,,
0450014.jpg,707-320,0,,,,,,,,,,,,,,,,,,,,
1042824.jpg,707-320,0,,,,,,,,,,,,,,,,,,,,
0894380.jpg,707-320,0,,,,,,,,,,,,,,,,,,,,
1427680.jpg,707-320,0,,,,,,,,,,,,,,,,,,,,
0817494.jpg,707-320,0,,,,,,,,,,,,,,,,,,,,
0716386.jpg,707-320,0,,,,,,,,,,,,,,,,,,,,
0951982.jpg,707-320,0,,,,,,,,,,,,,,,,,,,,
0731614.jpg,707-320,0,,,,,,,,,,,,,,,,,,,,
0582363.jpg,707-320,0,,,,,,,,,,,,,,,,,,,,
1082409.jpg,707-320,0,,,,,,,,,,,,,,,,,,,,
2031775.jpg,707-320,0,,,,,,,,,,,,,,,,,,,,
0950991.jpg,707-320,0,,,,,,,,,,,,,,,,,,,,
0869722.jpg,707-320,0,,,,,,,,,,,,,,,,,,,,
0979376.jpg,707-320,0,,,,,,,,,,,,,,,,,,,,
1002439.jpg,707-320,0,,,,,,,,,,,,,,,,,,,,
0864665.jpg,707-320,0,,,,,,,,,,,,,,,,,,,,
1207591.jpg,707-320,0,,,,,,,,,,,,,,,,,,,,
0582372.jpg,707-320,0,,,,,,,,,,,,,,,,,,,,
0729223.jpg,707-320,0,,,,,,,,,,,,,,,,,,,,
1319365.jpg,707-320,0,,,,,,,,,,,,,,,,,,,,
0548719.jpg,707-320,0,,,,,,,,,,,,,,,,,,,,
0577855.jpg,707-320,0,,,,,,,,,,,,,,,,,,,,
1423583.jpg,707-320,0,,,,,,,,,,,,,,,,,,,,
1187431.jpg,707-320,0,,,,,,,,,,,,,,,,,,,,
0610657.jpg,707-320,0,,,,,,,,,,,,,,,,,,,,
0869742.jpg,707-320,0,,,,,,,,,,,,,,,,,,,,
0687610.jpg,707-320,0,,,,,,,,,,,,,,,,,,,,
1042021.jpg,707-320,0,,,,,,,,,,,,,,,,,,,,
0482761.jpg,707-320,0,,,,,,,,,,,,,,,,,,,,
0064933.jpg,707-320,0,,,,,,,,,,,,,,,,,,,,
1019011.jpg,727-200,1,,,,,,,,,,,,,,,,,,,,
0732456.jpg,727-200,1,,,,,,,,,,,,,,,,,,,,
0218039.jpg,727-200,1,,,,,,,,,,,,,,,,,,,,
2223757.jpg,727-200,1,,,,,,,,,,,,,,,,,,,,
0983618.jpg,727-200,1,,,,,,,,,,,,,,,,,,,,
1327285.jpg,727-200,1,,,,,,,,,,,,,,,,,,,,
0065840.jpg,727-200,1,,,,,,,,,,,,,,,,,,,,
0980196.jpg,727-200,1,,,,,,,,,,,,,,,,,,,,
0995286.jpg,727-200,1,,,,,,,,,,,,,,,,,,,,
1514487.jpg,727-200,1,,,,,,,,,,,,,,,,,,,,
0213505.jpg,727-200,1,,,,,,,,,,,,,,,,,,,,
1459191.jpg,727-200,1,,,,,,,,,,,,,,,,,,,,
1063986.jpg,727-200,1,,,,,,,,,,,,,,,,,,,,
0056337.jpg,727-200,1,,,,,,,,,,,,,,,,,,,,
0409532.jpg,727-200,1,,,,,,,,,,,,,,,,,,,,
0771164.jpg,727-200,1,,,,,,,,,,,,,,,,,,,,
0632010.jpg,727-200,1,,,,,,,,,,,,,,,,,,,,
0901504.jpg,727-200,1,,,,,,,,,,,,,,,,,,,,
